User,Date Created,Number of likes,Source of Tweet,Tweet
Pauta,2022-08-19 16:03:00+00:00,0,TweetDeck,"El exministro de Salud calcula que un millón de personas beneficiarias de isapres que tiene enfermedades crónicas ""… https://t.co/KJ64XDhVf7"
Pauta,2022-08-19 14:16:40+00:00,0,TweetDeck,"Mañalich: En noviembre de 2024 ""la industria de las isapres debería desaparecer del mapa""

El exministro dijo que e… https://t.co/lbww18MW2I"
La Katu ❤️‍🔥,2022-08-19 12:08:26+00:00,1,Twitter for iPhone,Jaime Mañalich defendiendo a las isapres? https://t.co/7ETjLYhQpX
Pauta,2022-08-19 11:58:18+00:00,8,TweetDeck,"Jaime Mañalich (@jmanalich), exministro de Salud: ""Estamos en una situación grave desde el punto de vista sanitario… https://t.co/ywjGrT9RAq"
Pauta,2022-08-19 11:47:37+00:00,7,TweetDeck,"@jmanalich Jaime Mañalich (@jmanalich), exministro de Salud: ""Este fallo acelera la certidumbre financiera y jurídi… https://t.co/pC6cwSOuyr"
Pauta,2022-08-19 11:46:28+00:00,8,TweetDeck,"Fallo de la Corte Suprema ordena suspender alza de planes de isapres.

Jaime Mañalich (@jmanalich), exministro de S… https://t.co/TbPMwYTGyl"
Pauta,2022-08-19 11:45:26+00:00,0,TweetDeck,"Fallo de la Corte Suprema ordena suspender alza de planes de Isapres.

Jaime Mañalich (@jmanalich), exministro de S… https://t.co/9UBwetxuCf"
Sergio AC 🇨🇱 🇺🇦,2022-08-18 18:10:00+00:00,0,Twitter Web App,@jmanalich 👏 alguna dda penal?...derecha despierta @joseantoniokast @DrEnriqueParis @pdazan @javiermacaya @chahuan… https://t.co/U9KHjXCUGc
Agricultura,2022-08-18 13:44:26+00:00,26,TweetDeck,"Jaime Mañalich afirma que pandemia está ""desatendida"" por la agenda política: ""Se está haciendo mucho peor que en e… https://t.co/PE5fiOFr0N"
Mario luis,2022-08-14 00:15:42+00:00,0,Twitter for iPhone,"@FranfiiVale Uds fueron por Andrés chadwic, Víctor Pérez, Jaime Mañalich, Fabian guevara, Raúl Palacios y Sebastián… https://t.co/sn03v3qyp5"
Vicente Bull,2022-08-12 13:50:22+00:00,0,Twitter Web App,"@Guaton_10 Fernando Villegas, Jaime Mañalich, Loreto Aravena, Camila Gallardo, Mariana Di Girolamo, Pamela Giles, J… https://t.co/iWcU1ob83K"
